BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not
2CKEPCy9T9zQMKorZoDrni,2rxEfS5c1BRBMAjC9Weumf,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_620x965,ST00140,liftputwand_(#1315),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2Y$eh0ohrDEepO4_LPdoEr,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00140,liftputwand_(#1963),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1naZcReNz7PvhQAmj6Jq3I,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00140,liftputwand_(#4278),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0_tiSIYEr4yRRHYXKfPTdj,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00140,liftputwand_(#4416),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1Auz_7ZqL7AAig2gL0Pvj2,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00140,liftputwand_(#4582),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,16FVmRsQb85vEIXQ_DW6Lp,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00140,liftputwand_(#478),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3GQbn3RLT7AR7GWCGsipbZ,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00140,liftputwand_(#5207),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0ZOrCFqKrF_Ox7WOTGyQmt,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00140,liftputwand_(#5377),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2BvIWOGA18JuJGl8rylXFV,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_370x965,ST00140,liftputwand_(#5543),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1CJwrAhq9Ed94DRX3trP2o,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00140,liftputwand_(#6773),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0B0Q1ghLnCxvbIfuSwz9wK,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00140,liftputwand_(#9435),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0kS6wEmzbD2va78wYRyOFc,IfcWallStandardCase,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#182673),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3odIHAP2f2UOiuFMkf$itN,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#29455),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0eA$$I6uvA18h6OuHeQjac,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#29660),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2GTwJrGhDAzvI7WZJUCeZE,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#29901),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1qSygSJAf1FwTO1RCAcXhe,IfcWallStandardCase,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#30267),Wapening liftwanden,9-3-2015,9-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0n3uFweoDDvekPpYzTttt4,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_120mm,ST00150,binnenwand_(#44016),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2rxEfS5c1BRBMAjC9Weumf,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_620x965,ST00150,liftputwand_(#1315),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2Y$eh0ohrDEepO4_LPdoEr,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#1963),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1naZcReNz7PvhQAmj6Jq3I,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4278),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0_tiSIYEr4yRRHYXKfPTdj,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4416),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1Auz_7ZqL7AAig2gL0Pvj2,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4582),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,16FVmRsQb85vEIXQ_DW6Lp,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#478),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,3GQbn3RLT7AR7GWCGsipbZ,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00150,liftputwand_(#5207),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0ZOrCFqKrF_Ox7WOTGyQmt,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00150,liftputwand_(#5377),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,2BvIWOGA18JuJGl8rylXFV,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_370x965,ST00150,liftputwand_(#5543),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,1CJwrAhq9Ed94DRX3trP2o,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#6773),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0B0Q1ghLnCxvbIfuSwz9wK,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#9435),Stort liftwanden,10-3-2015,10-3-2015,On time
2CKEPCy9T9zQMKorZoDrni,0kS6wEmzbD2va78wYRyOFc,IfcWallStandardCase,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#182673),Stort liftwanden,10-3-2015,10-3-2015,On time
