BuildingGUID,GUID,ifcClass,Nl-sfb,Material,Task,Resource,TaskName,TaskStart,TaskFinish
2CKEPCy9T9zQMKorZoDrni,0_tiSIYEr4yRRHYXKfPTdj,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00140,liftputwand_(#4416),Wapening liftwanden,9-3-2015,9-3-2015
2CKEPCy9T9zQMKorZoDrni,3odIHAP2f2UOiuFMkf$itN,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#29455),Wapening liftwanden,9-3-2015,9-3-2015
2CKEPCy9T9zQMKorZoDrni,0kS6wEmzbD2va78wYRyOFc,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00140,liftwand_(#182673),Wapening liftwanden,9-3-2015,9-3-2015
2CKEPCy9T9zQMKorZoDrni,2GTwJrGhDAzvI7WZJUCeZE,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29901),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,2BvIWOGA18JuJGl8rylXFV,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_370x965,ST00150,liftputwand_(#5543),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0ZOrCFqKrF_Ox7WOTGyQmt,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00150,liftputwand_(#5377),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,1naZcReNz7PvhQAmj6Jq3I,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4278),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0B0Q1ghLnCxvbIfuSwz9wK,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#9435),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,1qSygSJAf1FwTO1RCAcXhe,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#30267),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,16FVmRsQb85vEIXQ_DW6Lp,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#478),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,3GQbn3RLT7AR7GWCGsipbZ,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x965,ST00150,liftputwand_(#5207),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,1Auz_7ZqL7AAig2gL0Pvj2,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4582),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0n3uFweoDDvekPpYzTttt4,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_120mm,ST00150,binnenwand_(#44016),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0eA$$I6uvA18h6OuHeQjac,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29660),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,2Y$eh0ohrDEepO4_LPdoEr,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#1963),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,1CJwrAhq9Ed94DRX3trP2o,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00150,liftputwand_(#6773),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,2rxEfS5c1BRBMAjC9Weumf,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_620x965,ST00150,liftputwand_(#1315),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0_tiSIYEr4yRRHYXKfPTdj,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00150,liftputwand_(#4416),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,3odIHAP2f2UOiuFMkf$itN,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#29455),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,0kS6wEmzbD2va78wYRyOFc,Wall,2220_binnenwanden - constructief,IFC_kalkzandsteen_214mm,ST00150,liftwand_(#182673),Stort liftwanden,10-3-2015,10-3-2015
2CKEPCy9T9zQMKorZoDrni,3x8FpcNtn5dhlulWMrejSh,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#5860),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,0vDPjO0AzA2RjW5bZfipZc,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#5991),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2wRDzVfR9EwhluR32nQMBE,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#13187),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1rmhw$lQ96KvGwXixf1ieA,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#13021),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1htIOmH4b7Tf006E86T$VI,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#8937),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3P7_03M9j4qfTpY82oA7qG,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#11761),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2F6KORhx58_911OMinsiC1,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12054),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1Asg_4IIzBJRAZjWOOBoop,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#10984),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2wgL5LHzz2E8w8G68rTVPh,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#11927),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1uEzbhHRDA98l7q7eTPW6W,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#3776),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3QPQ0M3XLDPQT3whn6YFzl,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12181),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,397U34bofE49REjBsbvQCB,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#10711),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1KASldv$r8FgJ_cnX$UWsD,Beam,1610_funderingsconstructies - voeten en balken,IFC_betonpoer_1600x300,ST00200,fund_poer_(#8265),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3eW1ejUUD8Z83etxIha2Q6,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00200,fund_strook_(#5041),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3qqefgPMbCKOfgM2m0OEf4,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12640),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3J_1it95T5gfMFEztXNCUR,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#11111),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,0wc9xUAq1D8gPTinpIsyhl,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_900x250,ST00200,fund_strook_(#6129),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,36OAgfylj3i8B$_ULHcQpS,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00200,fund_strook_(#11380),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,29BOVlph15px1swoAw3ZkS,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12894),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1zQYOrUqP5TAaFPeCmMGH$,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_600x250,ST00200,fund_strook_(#11249),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3SLFVhErbETg7vkVqhJmtW,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00200,fund_strook_(#11507),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2mDRqz_0n11QrR8$KLRplg,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_2600x550,ST00200,fund_strook_(#639),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1olNo2H6j18AMsF6vNwyOJ,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#7939),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2J6c62A5XD2QcGjShzZgXq,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00200,fund_strook_(#10569),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,1ei90H7Bb5_fZwEyprK4wB,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1400x250,ST00200,fund_strook_(#11634),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3e$rrJY7D1Rhx1v_XSSOhd,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#10265),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,28n152n4TDhfCgPSt939HS,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#10099),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3hyBmIA9vBAAbnFe7JERse,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#12347),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2TjPlUWNf9yOVI0lQMOSNy,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_800x250,ST00200,fund_strook_(#12767),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3mVuN59AD7ZOorZUKionH9,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#9103),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,26byCAFGr1I8W5h9B84Q16,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00200,fund_strook_(#10853),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,2vDGAiCMz1EgMACLLW94wj,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00200,fund_strook_(#12513),Stellen funderingkist incl. poeren,12-3-2015,20-3-2015
2CKEPCy9T9zQMKorZoDrni,3x8FpcNtn5dhlulWMrejSh,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#5860),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,0vDPjO0AzA2RjW5bZfipZc,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1000x250,ST00210,fund_strook_(#5991),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,2wRDzVfR9EwhluR32nQMBE,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_500x250,ST00210,fund_strook_(#13187),Wapening,19-3-2015,24-3-2015
2CKEPCy9T9zQMKorZoDrni,1rmhw$lQ96KvGwXixf1ieA,Beam,1610_funderingsconstructies - voeten en balken,IFC_strookfundering_1200x250,ST00210,fund_strook_(#13021),Wapening,19-3-2015,24-3-2015
